original_url,object_key,backup_key,original_size_mb,optimized_size_mb,original_duration_seconds,final_duration_seconds,crf_used,status,error
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/PIZZA-FOOD/PIZZA-FOOD-cheese-chicken.mp4,videos-yumzy/PIZZA-FOOD/PIZZA-FOOD-cheese-chicken.mp4,videos-yumzy-backup/PIZZA-FOOD/PIZZA-FOOD-cheese-chicken.mp4,16.22,3.34,8.61,8.61,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/PIZZA-FOOD/PIZZA-FOOD-kettle.mp4,videos-yumzy/PIZZA-FOOD/PIZZA-FOOD-kettle.mp4,videos-yumzy-backup/PIZZA-FOOD/PIZZA-FOOD-kettle.mp4,26.01,2.16,9.51,9.51,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/PIZZA-FOOD/PIZZA-FOOD-pizza-sharing.mp4,videos-yumzy/PIZZA-FOOD/PIZZA-FOOD-pizza-sharing.mp4,videos-yumzy-backup/PIZZA-FOOD/PIZZA-FOOD-pizza-sharing.mp4,22.45,2.85,6.57,6.57,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/SEA-FOOD/SEA-FOOD-fish-plate.mp4,videos-yumzy/SEA-FOOD/SEA-FOOD-fish-plate.mp4,videos-yumzy-backup/SEA-FOOD/SEA-FOOD-fish-plate.mp4,28.31,5.21,10.04,10.01,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/SEA-FOOD/sea-food-mixing.mp4,videos-yumzy/SEA-FOOD/sea-food-mixing.mp4,videos-yumzy-backup/SEA-FOOD/sea-food-mixing.mp4,10.97,3.74,23.00,10.00,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/STIRFRY-FOOD/STIRFRY-FOOD-asian-grill-chiken.mp4,videos-yumzy/STIRFRY-FOOD/STIRFRY-FOOD-asian-grill-chiken.mp4,videos-yumzy-backup/STIRFRY-FOOD/STIRFRY-FOOD-asian-grill-chiken.mp4,6.05,3.73,10.28,10.00,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/STIRFRY-FOOD/STIRFRY-FOOD-shrimp-pasta.mp4,videos-yumzy/STIRFRY-FOOD/STIRFRY-FOOD-shrimp-pasta.mp4,videos-yumzy-backup/STIRFRY-FOOD/STIRFRY-FOOD-shrimp-pasta.mp4,4.55,4.55,8.32,8.32,,skipped_already_optimized,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/STIRFRY-FOOD/STIRFRY-FOOD-tacos-tasty.mp4,videos-yumzy/STIRFRY-FOOD/STIRFRY-FOOD-tacos-tasty.mp4,videos-yumzy-backup/STIRFRY-FOOD/STIRFRY-FOOD-tacos-tasty.mp4,2.95,2.95,6.70,6.70,,skipped_already_optimized,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/TACOS-FOOD/TACOS-FOOD-on-wooden-table.mp4,videos-yumzy/TACOS-FOOD/TACOS-FOOD-on-wooden-table.mp4,videos-yumzy-backup/TACOS-FOOD/TACOS-FOOD-on-wooden-table.mp4,10.16,3.42,20.02,10.01,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/TACOS-FOOD/TACOS-FOOD-tacos-mania.mp4,videos-yumzy/TACOS-FOOD/TACOS-FOOD-tacos-mania.mp4,videos-yumzy-backup/TACOS-FOOD/TACOS-FOOD-tacos-mania.mp4,2.53,2.53,5.57,5.57,,skipped_already_optimized,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/SUSHI-FOOD/SUSHI-FOOD-flamed-sushi.mp4,videos-yumzy/SUSHI-FOOD/SUSHI-FOOD-flamed-sushi.mp4,videos-yumzy-backup/SUSHI-FOOD/SUSHI-FOOD-flamed-sushi.mp4,11.88,6.27,17.36,10.00,23,optimized_and_uploaded,
https://pub-315b5aea2f0c435798a36c40bb0eb6e5.r2.dev/videos-yumzy/SUSHI-FOOD/SUSHI-FOOD-sesames.mp4,videos-yumzy/SUSHI-FOOD/SUSHI-FOOD-sesames.mp4,videos-yumzy-backup/SUSHI-FOOD/SUSHI-FOOD-sesames.mp4,5.12,5.12,7.64,7.64,,skipped_already_optimized,
